text | label
اليوم الجو جميل جداً. | SAFE
كيف حالك يا صديقي؟ | SAFE
أحب أكل الملوخية مع الأرز. | SAFE
اليوم ذهبت إلى السوق واشتريت فواكه طازجة. | SAFE
ازيك يا جميل، عامل ايه النهارده؟ | SAFE
الفيلم ده كان حلو اوي. | SAFE
بكرة هروح الشغل بدري. | SAFE
القهوة دي طعمها رائع. | SAFE
شكراً على المساعدة. | SAFE
الكتاب ده مثير للاهتمام. | SAFE
عامل ايه في الدراسة؟ | SAFE
الطقس حار اليوم. | SAFE
يا غبي، مش فاهم حاجة. | HARASSMENT
انت حمار كبير. | HARASSMENT
يا رخم، روح من هنا. | HARASSMENT
بتحرش بالناس ليه يا حقير؟ | HARASSMENT
انت كلب ابن كلب. | HARASSMENT
يا واد يا معفن. | HARASSMENT
مش هتسكت يا زبالة؟ | HARASSMENT
انت عيل فاشل. | HARASSMENT
بتقول كلام فارغ يا جاهل. | HARASSMENT
يا بنت يا رخيصة. | HARASSMENT
انت مجنون تماماً. | HARASSMENT
يا خسيس، هتندم. | HARASSMENT
النساء دول كلهم خائنات. | HATE
المسيحيين دول كفار ويستحقون العقاب. | HATE
العرب دول متخلفين. | HATE
اليهود دول أعداء الإنسانية. | HATE
النسوان مش يستاهلوا احترام. | HATE
الشيعة دول مش مسلمين حقيقيين. | HATE
السوريين دول لاجئين ومش مرحب بيهم. | HATE
الرجالة دول ضعفاء زي النسوان. | HATE
الأجانب دول يسرقوا فرصنا. | HATE
البدو دول بربريين. | HATE
السودانيين دول جوعانين. | HATE
الأوروبيين دول فاسدين أخلاقياً. | HATE
تعالي نعمل حاجة ساخنة مع بعض. | SEXUAL
جسمك ده يجنن. | SEXUAL
أحب أشوفك عريانة. | SEXUAL
بتحبي الجنس الخشن؟ | SEXUAL
تعال ننام سوا الليلة. | SEXUAL
فخادك دي تجنن. | SEXUAL
أريد أن ألمسك في كل مكان. | SEXUAL
الليلة هتكون مثيرة. | SEXUAL
بتعملي ايه لما تكوني هايجة؟ | SEXUAL
جسمها مثير جداً. | SEXUAL
أحب الجنس الفموي. | SEXUAL
تعالي نجرب وضع جديد. | SEXUAL
هقتلك يا ابن الكلب. | VIOLENCE
سأحرق بيتكم كله. | VIOLENCE
